accel_z_mean,accel_z_std,gyro_z_mean,gyro_z_std,pitch_angle_mean,current_mean,max_current,pwm_val,Label
-9.928,0.042,1.512,0.123,-8.379,2.112,2.515,220,Smooth Inclined
-9.982,2.802,3.752,10.306,-6.984,1.828,2.21,220,Grass
-9.85,1.224,1.395,0.7,-5.638,0.946,1.837,146,Grass
-9.143,5.688,9.331,15.818,-3.047,1.57,1.862,220,Gravel
-10.437,2.821,-0.101,4.237,-7.766,1.403,1.558,220,Smooth
-9.936,3.497,-0.675,4.848,-6.929,1.417,1.776,220,Smooth
-10.057,2.14,4.832,10.024,-4.656,1.846,2.182,220,Grass
-9.842,2.382,5.135,15.857,-6.466,1.53,2.145,212,Gravel
-10.122,2.561,-0.121,4.932,-5.39,1.507,1.855,220,Smooth
-10.042,3.422,-0.612,4.684,-7.794,1.428,1.694,220,Smooth
-9.266,4.586,18.649,27.57,-2.255,1.759,2.116,220,Gravel
-9.951,0.564,3.235,7.186,-5.426,1.651,2.257,212,Grass
-10.055,1.815,4.392,13.085,-5.903,1.842,2.191,220,Grass
-10.067,4.079,17.844,28.125,-5.337,1.835,2.25,220,Rough
-9.379,4.348,7.412,16.36,-6.386,1.668,2.029,220,Gravel
-9.828,1.22,1.582,0.606,-6.534,0.944,1.855,146,Grass
-9.94,0.09,1.558,0.456,-8.288,2.145,2.566,220,Smooth Inclined
-9.583,2.767,1.138,12.252,-6.304,1.76,2.105,220,Grass
-9.804,1.218,1.844,1.262,-7.844,0.945,1.729,146,Smooth Inclined
-10.042,3.422,-0.612,4.584,-7.594,1.428,1.694,220,Smooth
-10.122,2.561,-0.121,4.932,-5.39,1.507,1.858,220,Smooth
-9.125,6.293,7.632,43.846,-4.004,1.705,2.057,220,Gravel
-9.773,4.677,4.245,27.58,-3.537,1.768,2.209,220,Gravel
-9.983,5.494,5.394,18.439,-1.373,1.74,2.114,220,Rough
-10.262,3.052,5.506,12.447,-5.883,1.711,2.046,220,Grass
-10.01,3.453,5.561,19.392,-6.13,1.748,2.089,220,Grass
-9.812,1.219,1.494,0.787,-6.5,0.928,1.771,146,Grass
-9.385,5.73,12.389,27.34,-1.739,1.647,1.972,220,Rough
-9.786,1.219,1.581,0.739,-8.74,0.952,1.872,146,Gravel
-10.014,3.008,0.999,15.716,-6.017,1.752,2.145,220,Grass
-9.926,0.105,1.845,1.193,-8.812,1.674,2.358,212,Smooth Inclined
-9.687,4.748,7.688,21.013,-2.32,1.738,2.103,220,Rough
-10.006,0.497,1.532,3.856,-6.968,1.664,2.299,212,Smooth Inclined
-9.937,2.545,4.854,11.953,-6.487,1.813,2.165,220,Grass
-9.712,2.563,2.869,16.585,-6.777,1.797,2.141,220,Grass
-9.972,0.041,1.516,0.16,-5.948,2.243,2.562,220,Grass
-9.992,0.106,1.489,1.825,-5.671,1.67,2.371,212,Grass
-8.945,5.618,23.007,26.15,-3.832,1.66,1.975,220,Gravel
-9.584,4.869,13.259,21.77,-4.395,1.76,2.19,220,Rough
-8.713,7.004,15.879,34.73,-3.081,1.686,2.011,220,Gravel
-9.32,5.218,22.562,36.875,-2.512,1.631,2.036,220,Gravel
-10.366,4.581,12.729,20.709,-5.458,1.744,2.111,220,Gravel
-8.362,6.667,7.181,25.016,-4.641,1.636,1.957,220,Gravel
-9.469,5.869,10.895,19.079,-4.777,1.682,2.264,220,Gravel
-9.931,0.038,1.523,0.097,-8.352,2.154,2.572,220,Smooth Inclined
-9.802,0.961,4.228,12.033,-7.794,1.966,2.34,220,Grass
-9.808,4.229,10.0,19.922,-5.081,1.803,2.29,220,Smooth Inclined
-10.452,5.812,2.186,23.434,-6.268,1.732,2.189,220,Rough
-9.78,5.145,-78.544,47.325,-7.272,1.639,2.143,220,Gravel
-10.529,3.861,-4.319,23.866,-2.856,1.802,2.219,220,Rough
-9.146,5.796,2.19,30.731,-3.141,1.723,2.086,220,Gravel
-10.132,1.297,0.829,2.778,-4.803,1.384,1.866,212,Smooth
-9.689,5.634,14.436,20.923,-3.484,1.669,2.049,220,Rough
-10.025,1.656,6.48,9.13,-6.481,1.932,2.323,220,Grass
-9.976,0.202,2.745,2.361,-6.495,2.107,2.525,220,Grass
-9.812,1.222,1.589,1.056,-6.545,0.916,1.742,146,Smooth
-10.437,2.821,-0.101,4.237,-7.446,1.403,1.658,220,Smooth
-9.209,5.627,9.14,16.143,-2.049,1.641,2.009,220,Gravel
-9.936,3.497,-0.675,4.248,-6.729,1.417,1.676,220,Smooth
-9.818,1.304,3.841,3.751,-8.56,0.914,1.689,146,Gravel
-9.98,2.581,4.762,8.695,-3.638,1.825,2.319,220,Grass
-10.434,4.571,6.584,30.207,-2.99,1.743,2.105,220,Gravel
-9.705,3.685,-2.096,21.586,-1.397,1.828,2.193,220,Rough
-10.051,4.458,5.763,17.309,-4.55,1.644,1.987,220,Gravel
-9.955,0.244,2.689,2.443,-5.551,1.684,2.279,212,Grass
